

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    15.00000  0.132600E-04  0.000000E+00  0.132606E-04  0.000000E+00  0.230165E-01   -103.966      0.000      4.257       1
    30.00000  0.271500E-04  0.000000E+00  0.271513E-04  0.000000E+00  0.323854E-01   -108.352      0.000      4.256       2
    45.00000  0.412050E-04  0.000000E+00  0.412067E-04  0.000000E+00  0.395941E-01   -113.047      0.000      4.256       3
    60.00000  0.533550E-04  0.000000E+00  0.533575E-04  0.000000E+00  0.456032E-01   -117.330      0.000      4.256       4
    75.00000  0.663150E-04  0.000000E+00  0.663168E-04  0.000000E+00  0.509317E-01   -122.142      0.000      4.256       5
    90.00000  0.796350E-04  0.000000E+00  0.796369E-04  0.000000E+00  0.557311E-01   -127.371      0.000      4.256       6
   105.00000  0.918150E-04  0.000000E+00  0.918174E-04  0.000000E+00  0.599673E-01   -132.419      0.000      4.256       7
   120.00000  0.101790E-03  0.000000E+00  0.101792E-03  0.000000E+00  0.640096E-01   -136.756      0.000      4.255       8
   135.00000  0.111660E-03  0.000000E+00  0.111661E-03  0.000000E+00  0.677192E-01   -141.238      0.000      4.255       9
   150.00000  0.121575E-03  0.000000E+00  0.121576E-03  0.000000E+00  0.712572E-01   -145.943      0.000      4.255      10
   165.00000  0.131565E-03  0.000000E+00  0.131567E-03  0.000000E+00  0.745665E-01   -150.900      0.000      4.255      11
   180.00000  0.141495E-03  0.000000E+00  0.141497E-03  0.000000E+00  0.777639E-01   -156.054      0.000      4.254      12
   195.00000  0.150795E-03  0.000000E+00  0.150796E-03  0.000000E+00  0.807472E-01   -161.099      0.000      4.255      13
   210.00000  0.159855E-03  0.000000E+00  0.159856E-03  0.000000E+00  0.836967E-01   -166.229      0.000      4.255      14
   225.00000  0.169245E-03  0.000000E+00  0.169247E-03  0.000000E+00  0.864239E-01   -171.780      0.000      4.255      15
   240.00000  0.178605E-03  0.000000E+00  0.178607E-03  0.000000E+00  0.891329E-01   -177.564      0.000      4.254      16
   255.00000  0.187920E-03  0.000000E+00  0.187921E-03  0.000000E+00  0.917130E-01   -183.586      0.000      4.251      17
   270.00000  0.197325E-03  0.000000E+00  0.197326E-03  0.000000E+00  0.941822E-01   -189.948      0.000      4.251      18
   285.00000  0.206490E-03  0.000000E+00  0.206491E-03  0.000000E+00  0.966452E-01   -196.438      0.000      4.252      19
   300.00000  0.215445E-03  0.000000E+00  0.215446E-03  0.000000E+00  0.989668E-01   -203.070      0.000      4.251      20
   315.00000  0.224100E-03  0.000000E+00  0.224101E-03  0.000000E+00  0.101231E+00   -209.772      0.000      4.251      21
   330.00000  0.232635E-03  0.000000E+00  0.232636E-03  0.000000E+00  0.103494E+00   -216.676      0.000      4.250      22
   345.00000  0.241035E-03  0.000000E+00  0.241036E-03  0.000000E+00  0.105635E+00   -223.773      0.000      4.249      23
   360.00000  0.249330E-03  0.000000E+00  0.249331E-03  0.000000E+00  0.107723E+00   -231.092      0.000      4.250      24
   375.00000  0.257550E-03  0.000000E+00  0.257551E-03  0.000000E+00  0.109819E+00   -238.668      0.000      4.249      25
   390.00000  0.265710E-03  0.000000E+00  0.265711E-03  0.000000E+00  0.111830E+00   -246.524      0.000      4.249      26
   405.00000  0.273810E-03  0.000000E+00  0.273811E-03  0.000000E+00  0.113772E+00   -254.671      0.000      4.249      27
   420.00000  0.281805E-03  0.000000E+00  0.281806E-03  0.000000E+00  0.115706E+00   -263.073      0.000      4.249      28
   435.00000  0.289800E-03  0.000000E+00  0.289802E-03  0.000000E+00  0.117625E+00   -271.854      0.000      4.248      29
   450.00000  0.297840E-03  0.000000E+00  0.297842E-03  0.000000E+00  0.119451E+00   -281.085      0.000      4.247      30
