 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 8.2020    Time:   6:18:56
 Units: L = m    , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0100  0.00000E+00  0.00000E+00 -0.12075E+00  0.00000E+00  0.11299E+00  0.00000E+00  0.00000E+00 -0.12075E-02  0.00000E+00  0.11299E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13164E+01  0.12075E-02  0.00000E+00      1  0.00000E+00      0.000
       0.0200  0.00000E+00  0.00000E+00 -0.40899E+00  0.00000E+00  0.23928E+00  0.00000E+00  0.00000E+00 -0.52973E-02  0.00000E+00  0.35227E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13228E+01  0.52973E-02  0.00000E+00      2  0.00000E+00      0.000
       0.0330  0.00000E+00  0.00000E+00 -0.27596E-02  0.00000E+00  0.18990E-01  0.00000E+00  0.00000E+00 -0.53332E-02  0.00000E+00  0.37696E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13231E+01  0.53332E-02  0.00000E+00      3  0.00000E+00      0.000
       0.0499  0.00000E+00  0.00000E+00 -0.25951E-02  0.00000E+00  0.14787E-01  0.00000E+00  0.00000E+00 -0.53771E-02  0.00000E+00  0.40195E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13234E+01  0.53771E-02  0.00000E+00      4  0.00000E+00      0.000
       0.0719  0.00000E+00  0.00000E+00 -0.23984E-02  0.00000E+00  0.11645E-01  0.00000E+00  0.00000E+00 -0.54298E-02  0.00000E+00  0.42753E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13237E+01  0.54298E-02  0.00000E+00      5  0.00000E+00      0.000
       0.1004  0.00000E+00  0.00000E+00 -0.22199E-02  0.00000E+00  0.92024E-02  0.00000E+00  0.00000E+00 -0.54932E-02  0.00000E+00  0.45381E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13241E+01  0.54932E-02  0.00000E+00      6  0.00000E+00      0.000
       0.1376  0.00000E+00  0.00000E+00 -0.20153E-02  0.00000E+00  0.73201E-02  0.00000E+00  0.00000E+00 -0.55680E-02  0.00000E+00  0.48099E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13244E+01  0.55680E-02  0.00000E+00      7  0.00000E+00      0.000
       0.1858  0.00000E+00  0.00000E+00 -0.18051E-02  0.00000E+00  0.58458E-02  0.00000E+00  0.00000E+00 -0.56551E-02  0.00000E+00  0.50921E-02  0.00000E+00  0.00000E+00  0.42567E+01  0.00000E+00  0.00000E+00  0.13248E+01  0.56551E-02  0.00000E+00      8  0.00000E+00      0.000
