 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 8.2020    Time:   6:17:56
 Units: L = m    , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    2      0.05     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    3      0.10     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    4      0.15     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    5      0.20     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    6      0.25     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    7      0.30     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    8      0.35     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
    9      0.40     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   10      0.45     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   11      0.50     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   12      0.55     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   13      0.60     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   14      0.65     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   15      0.70     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   16      0.75     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   17      0.80     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   18      0.85     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   19      0.90     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   20      0.95     0.200     0.450       0.0   0.300E-05     1.000     0.000     1.000     1.000     1.000
   21      1.00     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   22      1.05     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   23      1.10     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   24      1.15     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   25      1.20     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   26      1.25     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   27      1.30     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   28      1.35     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   29      1.40     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   30      1.45     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   31      1.50     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   32      1.55     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   33      1.60     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   34      1.65     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   35      1.70     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   36      1.75     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   37      1.80     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   38      1.85     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   39      1.90     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   40      1.95     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   41      2.00     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   42      2.05     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   43      2.10     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   44      2.15     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   45      2.20     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   46      2.25     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   47      2.30     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   48      2.35     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   49      2.40     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   50      2.45     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   51      2.50     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   52      2.55     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   53      2.60     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   54      2.65     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   55      2.70     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   56      2.75     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   57      2.80     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   58      2.85     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   59      2.90     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   60      2.95     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   61      3.00     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   62      3.05     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   63      3.10     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   64      3.15     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   65      3.20     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   66      3.25     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   67      3.30     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   68      3.35     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   69      3.40     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   70      3.45     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   71      3.50     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   72      3.55     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   73      3.60     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   74      3.65     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   75      3.70     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   76      3.75     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   77      3.80     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   78      3.85     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   79      3.90     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   80      3.95     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   81      4.00     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   82      4.05     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   83      4.10     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   84      4.15     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   85      4.20     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   86      4.25     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   87      4.30     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   88      4.35     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   89      4.40     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   90      4.45     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   91      4.50     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   92      4.55     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   93      4.60     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   94      4.65     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   95      4.70     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   96      4.75     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   97      4.80     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   98      4.85     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
   99      4.90     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
  100      4.95     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
  101      5.00     0.110     0.400       0.0   0.300E-04    10.000     0.000     1.000     1.000     1.000
end
