 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 8.2020    Time:   6:17:56
 Units: L = m    , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-01  0.10000E-01    2        2    -4     3     T
        2  0.2000000E-01  0.10000E-01    2        4    -4     3     T
        3  0.3300000E-01  0.13000E-01    3        7    -4     3     T
        4  0.4990000E-01  0.16900E-01    3       10    -4     3     T
        5  0.7187000E-01  0.21970E-01    3       13    -4     3     T
        6  0.1004310E+00  0.28561E-01    3       16    -4     3     T
        7  0.1375603E+00  0.37129E-01    3       19    -4     3     T
        8  0.1858284E+00  0.48268E-01    4       23    -4     3     T
        9  0.2340964E+00  0.48268E-01    3       26    -4     3     T
       10  0.2968449E+00  0.62748E-01    3       29    -4     3     T
       11  0.3784180E+00  0.81573E-01    3       32    -4     3     T
       12  0.4844629E+00  0.10604E+00    3       35    -4     3     T
       13  0.6223214E+00  0.13786E+00    3       38    -4     3     T
       14  0.8015373E+00  0.17922E+00    4       42    -4     3     T
       15  0.9807533E+00  0.17922E+00    4       46    -4     3     T
       16  0.1159969E+01  0.17922E+00    3       49    -4     3     T
       17  0.1392950E+01  0.23298E+00    4       53    -4     3     T
       18  0.1625931E+01  0.23298E+00    4       57    -4     3     T
       19  0.1858911E+01  0.23298E+00    4       61    -4     3     T
       20  0.2091892E+01  0.23298E+00    3       64    -4     3     T
       21  0.2394767E+01  0.30287E+00    3       67    -4     3     T
       22  0.2788504E+01  0.39374E+00    3       70    -4     3     T
       23  0.3300363E+01  0.51186E+00    4       74    -4     3     T
       24  0.3812222E+01  0.51186E+00    5       79    -4     3     T
       25  0.4324080E+01  0.51186E+00    3       82    -4     3     T
       26  0.4989496E+01  0.66542E+00    7       89    -4     3     T
       27  0.5455288E+01  0.46579E+00    5       94    -4     3     T
       28  0.5921079E+01  0.46579E+00    4       98    -4     3     T
       29  0.6386870E+01  0.46579E+00    4      102    -4     3     T
       30  0.6852661E+01  0.46579E+00    4      106    -4     3     T
       31  0.7318453E+01  0.46579E+00    3      109    -4     3     T
       32  0.7923981E+01  0.60553E+00    3      112    -4     3     T
       33  0.8710206E+01  0.78622E+00    4      116    -4     3     T
       34  0.9496430E+01  0.78622E+00    3      119    -4     3     T
       35  0.9863335E+01  0.36690E+00    6      135    -4     3     T
       36  0.1023024E+02  0.36690E+00    3      138    -4     3     T
       37  0.1070722E+02  0.47698E+00    7      145    -4     3     T
       38  0.1104110E+02  0.33388E+00    4      149    -4     3     T
       39  0.1137498E+02  0.33388E+00    4      153    -4     3     T
       40  0.1170887E+02  0.33388E+00    4      157    -4     3     T
       41  0.1203798E+02  0.32911E+00    2      159    -4     3     T
       42  0.1246112E+02  0.42315E+00    2      161    -4     3     T
       43  0.1309584E+02  0.63472E+00    4      165    -4     3     T
       44  0.1373056E+02  0.63472E+00    4      169    -4     3     T
       45  0.1436528E+02  0.63472E+00    3      172    -4     3     T
       46  0.1500000E+02  0.63472E+00    3      175    -4     3     T
       47  0.1573354E+02  0.73354E+00    4      179    -4     3     T
       48  0.1646708E+02  0.73354E+00    3      182    -4     3     T
       49  0.1742069E+02  0.95360E+00    4      186    -4     3     T
       50  0.1837429E+02  0.95360E+00    4      190    -4     3     T
       51  0.1932789E+02  0.95360E+00    9      199    -4     3     T
       52  0.1955040E+02  0.22251E+00    5      214    -4     3     T
       53  0.1977291E+02  0.22251E+00    2      216    -4     3     T
       54  0.2006217E+02  0.28926E+00    4      220    -4     3     T
       55  0.2015859E+02  0.96420E-01    2      232    -4     3     T
       56  0.2028393E+02  0.12535E+00    4      236    -4     3     T
       57  0.2040928E+02  0.12535E+00    2      238    -4     3     T
       58  0.2057223E+02  0.16295E+00    2      240    -4     3     T
       59  0.2078406E+02  0.21183E+00    2      242    -4     3     T
       60  0.2105945E+02  0.27538E+00    2      244    -4     3     T
       61  0.2141745E+02  0.35800E+00    2      246    -4     3     T
